year,skpd,name,dpa
2013,DINAS KELAUTAN DAN PERTANIAN,Pembulatan Gaji,"990,403"
2013,"DINAS KOMUNIKASI, INFORMATIKA Dan KEHUMASAN",Tunjangan Umum,"611,417,625"
2013,SATPOL PP,Tunjangan Beras,"9,816,888,120"
2013,DINAS TENAGA KERJA Dan TRANSMIGRASI,Tunjangan Fungsional,"1,035,445,775"
2013,Sekretariat Dewan Pengurus KORPRI Provinsi,Gaji Pokok,"2,245,882,246"
2013,BLUD RS Duren Sawit,Tunjangan Umum,"166,562,500"
2013,PEJABAT PENGELOLA KEUANGAN DAERAH,Belanja Bantuan Sosial Tidak Terprogram,"13,166,520,000"
2013,BADAN PENDIDIKAN Dan PELATIHAN,Tunjangan Umum,"173,624,750"
2013,Kota Administrasi Jakarta Barat,Tunjangan Beras,"2,153,012,520"
2013,DINAS PERTAMANAN DAN PEMAKAMAN,Tunjangan Keluarga,"2,312,583,369"
2013,PEJABAT PENGELOLA KEUANGAN DAERAH,Belanja Hibah Dana BOS ke SD/SDLB,"382,759,400,000"
2013,Kota Administrasi Jakarta Timur,Tunjangan Beras,"2,873,079,840"
2013,BLUD RS Cengkareng,Tunjangan Umum,"43,772,625"
2013,DINAS TENAGA KERJA Dan TRANSMIGRASI,Gaji Pokok,"34,974,959,033"
2013,BADAN PENANAMAN MODAL Dan PROMOSI,Tunjangan Khusus (PPh)/Tunjangan PPh,"1,128,873,980"
2013,Kota Administrasi Jakarta Selatan,Tunjangan Beras,"2,487,388,560"
2013,Sekretariat Dewan Pengurus KORPRI Provinsi,Tunjangan Jabatan,"344,651,125"
2013,Kota Administrasi Jakarta Selatan,Tunjangan Umum,"1,300,653,250"
2013,DPRD Provinsi,Uang Paket ,"255,420,000"
2013,DINAS PERINDUSTRIAN Dan ENERGI,Tunjangan Kinerja,"24,131,029,068"
2013,DINAS OLAH RAGA Dan PEMUDA,Tunjangan Beras,"755,831,220"
2013,DINAS TATA RUANG DAN PERTANAHAN,Tunjangan Khusus (PPh)/Tunjangan PPh,"4,904,561,239"
2013,BLUD RS Tarakan,Pembulatan Gaji,"156,986"
2013,DINAS TATA RUANG DAN PERTANAHAN,Tunjangan Keluarga,"1,314,405,757"
2013,DPRD Provinsi,Tunjangan Komisi ,"158,949,000"
2013,Sekretariat Dewan Pengurus KORPRI Provinsi,Tunjangan Khusus (PPh)/Tunjangan PPh,"948,331,349"
2013,Kota Administrasi Jakarta Selatan,Tunjangan Keluarga,"4,522,723,594"
2013,BLUD RS Budhi Asih,Tunjangan Keluarga,"1,014,544,909"
2013,Kota Administrasi Jakarta Pusat,Gaji Pokok,"32,178,783,229"
2013,DPRD Provinsi,Uang Representasi ,"2,554,200,000"
2013,BLUD RS Budhi Asih,Tunjangan Beras,"598,419,600"
2013,DINAS PERHUBUNGAN,Pembulatan Gaji,"1,195,318"
2013,DINAS PARIWISATA DAN KEBUDAYAAN,Tunjangan Khusus (PPh)/Tunjangan PPh,"10,242,495,132"
2013,DINAS TATA RUANG DAN PERTANAHAN,Pembulatan Gaji,"283,094"
2013,DINAS KEPENDUDUKAN Dan PENCATATAN SIPIL,Tunjangan Jabatan,"927,020,250"
2013,"DINAS KOPERASI, USAHA MIKRO, KECIL DAN MENENGAH, DAN PERDAGANGAN",Pembulatan Gaji,"302,057"
2013,Kota Administrasi Jakarta Timur,Pembulatan Gaji,"979,420"
2013,BADAN PENANAMAN MODAL Dan PROMOSI,Gaji Pokok,"3,195,053,840"
2013,DINAS SOSIAL,Gaji Pokok,"35,134,660,411"
2013,BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH,Tunjangan Fungsional,"155,236,250"
2013,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Tunjangan Beras,"549,779,280"
2013,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Tunjangan Keluarga,"978,853,943"
2013,Sekretariat Dewan Pengurus KORPRI Provinsi,Pembulatan Gaji,"37,615"
2013,BADAN KEPEGAWAIAN DAERAH,Biaya Kematian Pegawai Negeri Sipil Daerah,"21,996,000,000"
2013,PEJABAT PENGELOLA KEUANGAN DAERAH,Belanja Bantuan Keuangan Kepada Kabupaten / Kota,"45,000,000,000"
2013,Kota Administrasi Jakarta Barat,Tunjangan Jabatan,"4,440,289,750"
2013,DINAS TATA RUANG DAN PERTANAHAN,Tunjangan Kinerja,"20,806,831,372"
2013,DINAS PERINDUSTRIAN Dan ENERGI,Tunjangan Beras,"741,795,660"
2013,BADAN KEPEGAWAIAN DAERAH,Tunjangan Keluarga,"2,565,502,870"
2013,SEKRETARIAT DAERAH,Tunjangan Umum,"2,075,968,375"
2013,Kota Administrasi Jakarta Utara,Tunjangan Jabatan,"2,956,417,750"
2013,Kabupaten Administrasi Kepulauan Seribu - Kep. Seribu,Tunjangan Beras,"578,038,020"
2013,DINAS PERTAMANAN DAN PEMAKAMAN,Pembulatan Gaji,"422,074"
2013,DINAS SOSIAL,Tunjangan Beras,"2,082,054,720"
2013,BADAN PENGELOLA KEUANGAN DAERAH,Gaji Pokok,"27,343,319,418"
2013,BLUD RS Duren Sawit,Pembulatan Gaji,"137,580"
2013,BLUD RS Tarakan,Tunjangan Fungsional,"1,085,641,050"
2013,DINAS KEPENDUDUKAN Dan PENCATATAN SIPIL,Tunjangan Umum,"1,263,210,000"
2013,DINAS TENAGA KERJA Dan TRANSMIGRASI,Tunjangan Jabatan,"1,220,969,750"
2013,DINAS SOSIAL,Pembulatan Gaji,"701,590"
2013,BADAN PENANAMAN MODAL Dan PROMOSI,Tunjangan Beras,"171,500,280"
2013,BLUD RS Cengkareng,Gaji Pokok,"1,468,886,000"
2013,DPRD Provinsi,Tunjangan Badan Musyawarah,"82,215,000"
2013,Badan Penanggulangan Bencana Daerah,Tunjangan Kinerja,"1,721,058,875"
2013,DINAS PEMADAM KEBAKARAN Dan PENANGGULANGAN BENCANA,Tunjangan Keluarga,"9,475,965,988"
2013,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Tunjangan Umum,"457,380,625"
2013,DINAS SOSIAL,Tunjangan Umum,"1,790,147,125"
2013,DINAS KEPENDUDUKAN Dan PENCATATAN SIPIL,Pembulatan Gaji,"445,741"
2013,INSPEKTORAT,Tunjangan Fungsional,"2,242,530,875"
2013,DINAS PEMADAM KEBAKARAN Dan PENANGGULANGAN BENCANA,Tunjangan Beras,"6,306,800,760"
2013,SEKRETARIAT DPRD,Tunjangan Kinerja,"7,860,013,348"
2013,BADAN PENGELOLA KEUANGAN DAERAH,Tunjangan Kinerja,"40,348,453,800"
2013,INSPEKTORAT,Tunjangan Umum,"480,299,625"
2013,Sekretariat Dewan Pengurus KORPRI Provinsi,Tunjangan Keluarga,"197,343,567"
2013,BLUD RS Budhi Asih,Tunjangan Umum,"233,187,500"
2013,DPRD Provinsi,Tunjangan Keluarga,"357,588,000"
2013,DINAS SOSIAL,Tunjangan Khusus (PPh)/Tunjangan PPh,"10,831,668,235"
2013,SATPOL PP,Tunjangan Kinerja,"187,664,761,194"
2013,BADAN KESATUAN BANGSA Dan POLITIK,Tunjangan Khusus (PPh)/Tunjangan PPh,"1,981,510,891"
2013,Kabupaten Administrasi Kepulauan Seribu - Kep. Seribu,Tunjangan Kinerja,"19,007,288,932"
2013,DINAS PERUMAHAN DAN GEDUNG PEMDA,Tunjangan Jabatan,"977,388,750"
2013,DINAS PENDIDIKAN,Tunjangan Keluarga,"170,632,004,670"
